colour_code,colour_name,hex,r,g,b,product,finish,lrv
12075,Soothing Beige,#BBB08F,187,176,143,Majestic,Matt,47
1024,Timeless,#E0DDD3,224,221,211,Majestic,Matt,71
1624,Skylight,#D9E2E8,217,226,232,Majestic,Matt,73
CUSTOM-001,WILD IVY,#5F817E,95,129,126,Majestic,Matt,
CUSTOM-002,OLIVE,#B8A87F,184,168,127,Majestic,Matt,
CUSTOM-003,OBSERVE,#CEBDA2,206,189,162,Majestic,Matt,
CUSTOM-004,GOLDEN WALNUT,#927A5C,146,122,92,Majestic,Matt,
CUSTOM-005,COFFEE,#524240,82,66,64,Majestic,Matt,
CUSTOM-006,GINGER TEA,#DDCEA5,221,206,165,Majestic,Matt,
CUSTOM-007,SJEL,#EDE7D8,237,231,216,Majestic,Matt,
CUSTOM-008,SOPHISTICATED RED,#7C5953,124,89,83,Majestic,Matt,
CUSTOM-009,SILKY PINK,#BDA69F,189,166,159,Majestic,Matt,
CUSTOM-010,GREEN TEA,#A09B7C,160,155,124,Majestic,Matt,
CUSTOM-011,GOLDEN BRONZE,#897760,137,119,96,Majestic,Matt,
CUSTOM-012,NORTHERN MYSTIC,#696D61,105,109,97,Majestic,Matt,
CUSTOM-013,GLEAM,#E4DBC5,228,219,197,Majestic,Matt,
CUSTOM-014,SOFT RADIANCE,#D9CCB0,217,204,176,Majestic,Matt,
CUSTOM-015,ICONIC,#A1ACA6,161,172,166,Majestic,Matt,
CUSTOM-016,CITYSCAPE,#8D9893,141,152,147,Majestic,Matt,
CUSTOM-017,CARAMEL BROWN,#A59885,165,152,133,Majestic,Matt,
CUSTOM-018,HAZELNUT BEIGE,#BEB19C,190,177,156,Majestic,Matt,
CUSTOM-019,UNBLEACHED,#D2C8B5,210,200,181,Majestic,Matt,
CUSTOM-020,SOFT DUNES,#E1D6C1,225,214,193,Majestic,Matt,
CUSTOM-021,SEAWEED GREEN,#968A66,150,138,102,Majestic,Matt,
CUSTOM-022,MILD OCHRE,#E4C196,228,193,150,Majestic,Matt,
CUSTOM-023,OCHRE CLAY,#C8936B,200,147,107,Majestic,Matt,
CUSTOM-024,PINK AMBIENCE,#CFAF9C,207,175,156,Majestic,Matt,
